sales_id,transaction_date,stock_date,product_id,customer_id,store_id,quantity
102,1/1/1997,12/31/1996,869,3449,6,5
103,1/1/1997,12/31/1996,1472,3449,6,3
104,1/1/1997,12/28/1996,76,3449,6,4
105,1/1/1997,12/26/1996,320,3449,6,3
106,1/1/1997,12/25/1996,4,3449,6,4
107,1/1/1997,12/30/1996,952,3449,6,4
108,1/1/1997,12/31/1996,1222,3449,6,4
109,1/1/1997,12/30/1996,517,7859,6,4
110,1/1/1997,12/27/1996,1359,7859,6,4
111,1/1/1997,12/31/1996,357,106,6,4
112,1/1/1997,12/27/1996,1426,106,6,5
113,1/1/1997,12/26/1996,190,106,6,4
114,1/1/1997,12/28/1996,367,106,6,4
115,1/1/1997,12/29/1996,250,106,6,5
116,1/1/1997,12/26/1996,600,106,6,4
117,1/1/1997,12/29/1996,702,8248,6,5
118,1/1/1997,12/27/1996,786,8248,6,3
119,1/1/1997,12/30/1996,536,8248,6,4
120,1/1/1997,12/27/1996,1285,8248,6,4
121,1/1/1997,12/29/1996,596,8248,6,3
122,1/1/1997,12/27/1996,846,1906,6,2
123,1/1/1997,12/31/1996,769,1906,6,4
124,1/1/1997,12/26/1996,586,1906,6,3
125,1/1/1997,12/28/1996,1135,1906,6,3
126,1/1/1997,12/25/1996,1046,1906,6,2
127,1/1/1997,12/25/1996,170,1906,6,4
128,1/1/1997,12/26/1996,885,5802,6,4
129,1/1/1997,12/28/1996,236,5802,6,3
130,1/1/1997,12/30/1996,1039,5802,6,3
131,1/1/1997,12/25/1996,603,5802,6,2
132,1/1/1997,12/29/1996,616,4825,6,4
133,1/1/1997,12/30/1996,1432,4825,6,4
134,1/1/1997,12/30/1996,544,4825,6,2
135,1/1/1997,12/28/1996,920,4825,6,2
136,1/1/1997,12/30/1996,1349,4825,6,3
137,1/1/1997,12/30/1996,1093,5262,6,4
138,1/1/1997,12/28/1996,417,5262,6,2
139,1/1/1997,12/26/1996,887,5262,6,5
140,1/1/1997,12/27/1996,1449,5262,6,3
141,1/1/1997,12/26/1996,494,5262,6,4
142,1/1/1997,12/28/1996,1070,5262,6,2
143,1/1/1997,12/27/1996,657,2571,6,2
144,1/1/1997,12/25/1996,967,2571,6,4
145,1/1/1997,12/26/1996,1483,2200,6,2
146,1/1/1997,12/25/1996,48,2200,6,3
147,1/1/1997,12/26/1996,830,9068,6,3
148,1/1/1997,12/27/1996,1179,9068,6,3
149,1/1/1997,12/25/1996,131,9068,6,4
150,1/1/1997,12/25/1996,574,9068,6,4
151,1/1/1997,12/30/1996,1217,9068,6,2
152,1/1/1997,12/29/1996,707,7854,6,3
153,1/1/1997,12/26/1996,817,7854,6,3
154,1/1/1997,12/25/1996,831,1900,6,2
155,1/1/1997,12/27/1996,1247,1900,6,3
156,1/1/1997,12/29/1996,1143,1900,6,2
157,1/1/1997,12/25/1996,628,1900,6,4
158,1/1/1997,12/27/1996,1037,2533,6,3
159,1/1/1997,12/26/1996,1360,2533,6,4
160,1/1/1997,12/29/1996,1537,2533,6,4
161,1/1/1997,12/30/1996,1420,2533,6,2
162,1/1/1997,12/25/1996,212,2533,6,3
163,1/1/1997,12/30/1996,721,2533,6,2
164,1/1/1997,12/31/1996,1164,2533,6,2
165,1/1/1997,12/31/1996,1067,3175,6,3
166,1/1/1997,12/29/1996,524,3175,6,2
167,1/1/1997,12/30/1996,181,3175,6,4
168,1/1/1997,12/31/1996,797,3175,6,3
169,1/1/1997,12/31/1996,507,3175,6,2
170,1/1/1997,12/26/1996,851,2688,6,4
171,1/1/1997,12/25/1996,1173,2688,6,3
172,1/1/1997,12/27/1996,1350,2688,6,3
173,1/1/1997,12/27/1996,1233,2688,6,4
174,1/1/1997,12/25/1996,25,2688,6,3
175,1/1/1997,12/29/1996,534,2688,6,3
176,1/1/1997,12/28/1996,987,6788,6,4
177,1/1/1997,12/31/1996,738,6788,6,4
178,1/1/1997,12/31/1996,1487,6788,6,4
179,1/1/1997,12/27/1996,798,6788,6,3
180,1/1/1997,12/25/1996,927,5990,6,5
181,1/1/1997,12/31/1996,505,5990,6,4
182,1/1/1997,12/30/1996,627,5990,6,2
183,1/1/1997,12/30/1996,238,9357,6,3
184,1/1/1997,12/26/1996,282,9357,6,2
185,1/1/1997,12/29/1996,565,9357,6,4
186,1/1/1997,12/26/1996,860,9357,6,4
187,1/1/1997,12/27/1996,704,9357,6,4
188,1/1/1997,12/26/1996,519,2438,6,4
189,1/1/1997,12/26/1996,974,2438,6,3
190,1/1/1997,12/26/1996,752,2438,6,2
191,1/1/1997,12/31/1996,275,2438,6,4
192,1/1/1997,12/31/1996,1290,2438,6,3
193,1/1/1997,12/30/1996,1361,2438,6,2
194,1/1/1997,12/28/1996,558,6913,6,3
195,1/1/1997,12/31/1996,442,6913,6,3
196,1/1/1997,12/25/1996,791,6913,6,3
197,1/1/1997,12/31/1996,1301,6913,6,2
